cycog_iid	cycog_cns_product
CyCOG_60000085	dCTP deaminase
CyCOG_60000086	Predicted dehydrogenase
CyCOG_60000087	photosystem I P700 chlorophyll a apoprotein A1
CyCOG_60000088	putative ATP-binding cassette transporter
CyCOG_60000089	Superfamily II RNA helicase
CyCOG_60000090	protoporphyrin IX magnesium-chelatase
CyCOG_60000091	Uncharacterized protein
CyCOG_60000092	methionine adenosyltransferase
CyCOG_60000093	tRNA-guanine transglycosylase
CyCOG_60000094	Hemolysin, contains CBS domains
CyCOG_60000095	arginine decarboxylase
CyCOG_60000096	ATP-dependent DNA helicase, Rep family
CyCOG_60000097	Glycosyltransferase involved in cell wall bisynthesis
CyCOG_60000098	4-hydroxy-3-methylbut-2-enyl diphosphate reductase
CyCOG_60000099	isocitrate dehydrogenase (NADP)
CyCOG_60000100	aspartyl/glutamyl-tRNA(Asn/Gln) amidotransferase subunit B
CyCOG_60000101	IMP cyclohydrolase /phosphoribosylaminoimidazolecarboxamide formyltransferase
CyCOG_60000102	protein translocase subunit secA
CyCOG_60000103	thioredoxin reductase (NADPH)
CyCOG_60000104	Ycf66 protein N-terminus
CyCOG_60000105	ATP-dependent Clp protease ATP-binding subunit ClpX
CyCOG_60000106	LL-diaminopimelate aminotransferase apoenzyme
CyCOG_60000107	glycine dehydrogenase (decarboxylating) alpha subunit /glycine dehydrogenase (decarboxylating) beta subunit
CyCOG_60000108	DNA polymerase-3 subunit gamma/tau
CyCOG_60000109	transcriptional regulator, LuxR family
CyCOG_60000110	enolase
CyCOG_60000111	chorismate synthase
CyCOG_60000112	primary replicative DNA helicase
CyCOG_60000113	ammonium transporter
CyCOG_60000114	NAD(P)H-quinone oxidoreductase subunit I
CyCOG_60000115	GTP-binding protein
CyCOG_60000116	3-oxoacyl-[acyl-carrier-protein] synthase II
CyCOG_60000117	phosphoribosylformylglycinamidine cyclo-ligase
CyCOG_60000118	all-trans-8'-apo-beta-carotenal 15,15'-oxygenase
CyCOG_60000119	glutamate N-acetyltransferase
CyCOG_60000120	2-methyl-6-solanesyl-1,4-benzoquinol methyltransferase
CyCOG_60000121	photosystem I subunit 4
CyCOG_60000122	arginyl-tRNA synthetase
CyCOG_60000123	molecular chaperone DnaK
CyCOG_60000124	metal dependent phosphohydrolase
CyCOG_60000125	adenylyltransferase and sulfurtransferase
CyCOG_60000126	UDPglucose 6-dehydrogenase
CyCOG_60000127	transcriptional regulator, Crp/Fnr family
CyCOG_60000128	NADH dehydrogenase subunit C
CyCOG_60000129	transcriptional regulator, GntR family
CyCOG_60000130	3-deoxy-D-arabinoheptulosonate-7-phosphate synthase
CyCOG_60000131	histidine kinase
CyCOG_60000132	cobaltochelatase CobN subunit
CyCOG_60000133	putative ABC transport system ATP-binding protein
CyCOG_60000134	RNA polymerase nonessential primary-like sigma factor
CyCOG_60000135	Protein of unknown function (DUF3084)
CyCOG_60000136	sulfate adenylyltransferase
CyCOG_60000137	ribosomal large subunit pseudouridine synthase D
CyCOG_60000138	ATP synthase F1 subcomplex beta subunit
CyCOG_60000139	aspartate kinase
CyCOG_60000140	ribonuclease J
CyCOG_60000141	serine O-acetyltransferase
CyCOG_60000142	Phosphoenolpyruvate carboxylase, type 1
CyCOG_60000143	starch phosphorylase
CyCOG_60000144	valyl-tRNA synthetase
CyCOG_60000145	dihydrodipicolinate synthase
CyCOG_60000146	ATP-dependent Lon protease
CyCOG_60000147	conserved hypothetical protein, cofD-related
CyCOG_60000148	16S rRNA (cytosine1402-N4)-methyltransferase
CyCOG_60000149	Flavorubredoxin
CyCOG_60000150	condensin subunit Smc
CyCOG_60000151	photosystem II cytochrome b559 subunit alpha
CyCOG_60000152	ATP-dependent Clp protease adaptor protein ClpS
CyCOG_60000153	NADH dehydrogenase subunit B
CyCOG_60000154	phospholipase/carboxylesterase
CyCOG_60000155	alanine racemase
CyCOG_60000156	histidinol-phosphate aminotransferase
CyCOG_60000157	adenosylhomocysteinase
CyCOG_60000158	aspartate semialdehyde dehydrogenase
CyCOG_60000159	cob(I)yrinic acid a,c-diamide adenosyltransferase
CyCOG_60000160	Flavorubredoxin
CyCOG_60000161	peptidoglycan glycosyltransferase
CyCOG_60000162	xylulokinase
CyCOG_60000163	peptide/nickel transport system ATP-binding protein
CyCOG_60000164	Rubredoxin
CyCOG_60000165	SSU ribosomal protein S10P
CyCOG_60000166	nucleoside diphosphate kinase
CyCOG_60000167	porphobilinogen synthase
CyCOG_60000168	NADH dehydrogenase subunit H
CyCOG_60000169	cobalamin-5'-phosphate synthase
CyCOG_60000170	protoheme IX farnesyltransferase
CyCOG_60000171	two component transcriptional regulator, LuxR family
CyCOG_60000172	chloride channel protein, CIC family
CyCOG_60000173	hypothetical protein
CyCOG_60000174	fumarase, class II
CyCOG_60000175	phosphoglycerate mutase
CyCOG_60000176	DNA gyrase subunit B
CyCOG_60000177	ribonuclease E
CyCOG_60000178	polyphosphate kinase
CyCOG_60000179	Uncharacterized membrane protein YdjX, TVP38/TMEM64 family, SNARE-associated domain
CyCOG_60000180	Chlorophyll A-B binding protein
CyCOG_60000181	uncharacterized protein
CyCOG_60000182	NADH dehydrogenase subunit A
CyCOG_60000183	sugar fermentation stimulation protein A
CyCOG_60000184	DNA-directed RNA polymerase subunit alpha
CyCOG_60000185	hypothetical protein
CyCOG_60000186	putative glutathione S-transferase
CyCOG_60000187	Glycosyltransferase involved in cell wall bisynthesis
CyCOG_60000188	Tetratricopeptide repeat-containing protein
CyCOG_60000189	NADH dehydrogenase subunit D
CyCOG_60000190	histidinol dehydrogenase
CyCOG_60000191	hypothetical protein
CyCOG_60000192	prephenate dehydratase
CyCOG_60000193	riboflavin synthase alpha chain
CyCOG_60000194	cytochrome c oxidase assembly protein subunit 15
CyCOG_60000195	O-succinylbenzoic acid--CoA ligase
CyCOG_60000196	UDP-sulfoquinovose synthase
CyCOG_60000197	pyruvate dehydrogenase E2 component (dihydrolipoamide acetyltransferase)
CyCOG_60000198	putative peptidoglycan lipid II flippase
CyCOG_60000199	zeta-carotene desaturase /three-step phytoene desaturase
CyCOG_60000200	NADH dehydrogenase subunit L
CyCOG_60000201	GTP-binding protein LepA
CyCOG_60000202	anthranilate synthase, component I
CyCOG_60000203	tRNA modification GTPase trmE
CyCOG_60000204	LysM domain-containing protein
CyCOG_60000205	RNase H-fold protein, predicted Holliday junction resolvase
CyCOG_60000206	phosphoribosylformylglycinamidine synthase
CyCOG_60000207	S-adenosylmethionine:tRNA ribosyltransferase-isomerase
CyCOG_60000208	AbrB-like transcriptional regulator
CyCOG_60000209	probable rRNA maturation factor
CyCOG_60000210	Ras superfamily GTP-binding protein YlqF
CyCOG_60000211	Radical SAM superfamily enzyme YgiQ, UPF0313 family
CyCOG_60000212	Protein of unknown function (DUF561)
CyCOG_60000213	exopolyphosphatase / guanosine-5'-triphosphate,3'-diphosphate pyrophosphatase
CyCOG_60000214	dihydroxyacid dehydratase
CyCOG_60000215	TIGR00303 family protein
CyCOG_60000216	precorrin-3 methyltransferase
CyCOG_60000217	peptide-methionine (R)-S-oxide reductase
CyCOG_60000218	hypothetical protein
CyCOG_60000219	bacterial peptide chain release factor 2 (bRF-2)
CyCOG_60000220	2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase
CyCOG_60000221	SSU ribosomal protein S11P
CyCOG_60000222	Mg-protoporphyrin IX methyltransferase
CyCOG_60000223	fructokinase
CyCOG_60000224	CYTH domain-containing protein
CyCOG_60000225	CTP synthase
CyCOG_60000226	bacterial peptide chain release factor 1 (bRF-1)
CyCOG_60000227	amidohydrolase
CyCOG_60000228	Prolipoprotein diacylglyceryl transferase
CyCOG_60000229	RNA polymerase primary sigma factor
CyCOG_60000230	Alkaline and neutral invertase
CyCOG_60000231	Predicted unusual protein kinase regulating ubiquinone biosynthesis, AarF/ABC1/UbiB family
CyCOG_60000232	Protein of unknown function (DUF3769)
CyCOG_60000233	trigger factor
CyCOG_60000234	rod shape-determining protein MreB
CyCOG_60000235	Protein of unknown function (DUF3146)
CyCOG_60000236	alkaline phosphatase
CyCOG_60000237	DNA-binding transcriptional regulator, LysR family
CyCOG_60000238	cytochrome b6
CyCOG_60000239	ribose-5-phosphate isomerase
CyCOG_60000240	aspartoacylase
CyCOG_60000241	protein translocase subunit secY/sec61 alpha
CyCOG_60000242	polyribonucleotide nucleotidyltransferase
CyCOG_60000243	apocytochrome f
CyCOG_60000244	D-amino-acid oxidase
CyCOG_60000245	tRNA pseudouridine38-40 synthase
CyCOG_60000246	glutamate--cysteine ligase, putative
CyCOG_60000247	NADH dehydrogenase subunit M
CyCOG_60000248	biotin carboxylase
CyCOG_60000249	Uncharacterized conserved protein YacL, contains PIN and TRAM domains
CyCOG_60000250	SPFH domain, Band 7 family protein
CyCOG_60000251	HAD superfamily phosphatase
CyCOG_60000252	hypothetical protein
CyCOG_60000253	diacylglycerol kinase (ATP)
CyCOG_60000254	Protein of unknown function (DUF3177)
CyCOG_60000255	NADH dehydrogenase subunit K
CyCOG_60000256	peptidyl-tRNA hydrolase
CyCOG_60000257	anthranilate synthase, component II
CyCOG_60000258	tRNA threonylcarbamoyladenosine biosynthesis protein TsaE
CyCOG_60000259	glutathione synthase
CyCOG_60000260	Protein of unknown function (DUF1997)
CyCOG_60000261	thiamine-phosphate kinase
CyCOG_60000262	NAD+ kinase
CyCOG_60000263	nicotinate-nucleotide pyrophosphorylase [carboxylating]
CyCOG_60000264	precorrin-4 C11-methyltransferase
CyCOG_60000265	hydroxymethylbilane synthase
CyCOG_60000266	phospholipid/cholesterol/gamma-HCH transport system substrate-binding protein
CyCOG_60000267	magnesium transporter
CyCOG_60000268	ABC-2 type transport system permease protein
CyCOG_60000269	dephospho-CoA kinase
CyCOG_60000270	O-succinylbenzoate synthase
CyCOG_60000271	Molecular chaperone DnaK (HSP70)
CyCOG_60000272	citrate synthase
CyCOG_60000273	phosphoglycerate kinase
CyCOG_60000274	Adenylosuccinate lyase
CyCOG_60000275	4-hydroxythreonine-4-phosphate dehydrogenase
CyCOG_60000276	sodium/proton antiporter NhaS3, CPA2 family
CyCOG_60000277	Phosphomannomutase
CyCOG_60000278	Predicted arabinose efflux permease, MFS family
CyCOG_60000279	tRNA (Guanine37-N(1)-) methyltransferase
CyCOG_60000280	Protein of unknown function (DUF3155)
CyCOG_60000281	NADH dehydrogenase subunit J
CyCOG_60000282	ATP-dependent Clp protease, protease subunit
CyCOG_60000283	cytochrome b6-f complex subunit 4
CyCOG_60000284	5-methylcytosine-specific restriction endonuclease McrA
CyCOG_60000285	hypothetical protein
CyCOG_60000286	lysyl-tRNA synthetase, class II
CyCOG_60000287	SSU ribosomal protein S1P
CyCOG_60000288	photosystem II CP47 chlorophyll apoprotein
CyCOG_60000289	Protein of unknown function (DUF3326)
CyCOG_60000290	L-threonine O-3-phosphate decarboxylase
CyCOG_60000291	phosphate starvation-inducible protein PhoH
CyCOG_60000292	anthranilate synthase, component I
CyCOG_60000293	glutamine--fructose-6-phosphate transaminase
CyCOG_60000294	Uncharacterized conserved protein YgbK, DUF1537 family
CyCOG_60000295	sucrose-phosphate synthase
CyCOG_60000296	glycogen operon protein
CyCOG_60000297	glycoside/pentoside/hexuronide:cation symporter, GPH family
CyCOG_60000298	AbrB-like transcriptional regulator
CyCOG_60000299	1,4-dihydroxy-2-naphthoyl-CoA hydrolase
CyCOG_60000300	cell division topological specificity factor MinE
CyCOG_60000301	SSU ribosomal protein S5P
CyCOG_60000302	condensin subunit ScpA
CyCOG_60000303	septum site-determining protein MinD
CyCOG_60000304	Branched-chain amino acid aminotransferase/4-amino-4-deoxychorismate lyase
CyCOG_60000305	hypothetical protein
CyCOG_60000306	folate-binding protein YgfZ
CyCOG_60000307	shikimate dehydrogenase
CyCOG_60000308	aspartyl-tRNA synthetase
CyCOG_60000309	Pimeloyl-ACP methyl ester carboxylesterase
CyCOG_60000310	coproporphyrinogen III oxidase, anaerobic
CyCOG_60000311	adenosylmethionine-8-amino-7-oxononanoate aminotransferase
CyCOG_60000312	cytochrome b6-f complex iron-sulfur subunit
CyCOG_60000313	Uncharacterized conserved protein YciI, contains a putative active-site phosphohistidine
CyCOG_60000314	tRNA (guanine-N7-)-methyltransferase
CyCOG_60000315	SSU ribosomal protein S13P
CyCOG_60000316	bacterial translation initiation factor 3 (bIF-3)
CyCOG_60000317	phosphate:acyl-[acyl carrier protein] acyltransferase
CyCOG_60000318	tRNA(Ile)-lysidine synthase
CyCOG_60000319	Thioredoxin
CyCOG_60000320	beta-carotene hydroxylase
CyCOG_60000321	inorganic pyrophosphatase
CyCOG_60000322	epoxyqueuosine reductase
CyCOG_60000323	NusA antitermination factor
CyCOG_60000324	oligopeptidase A Metallo peptidase. MEROPS family M03A
CyCOG_60000325	NAD+ synthase (glutamine-hydrolysing)
CyCOG_60000326	Iron-regulated ABC transporter membrane component SufB
CyCOG_60000327	Cu2+-exporting ATPase
CyCOG_60000328	Complex I intermediate-associated protein 30 (CIA30)
CyCOG_60000329	LSU ribosomal protein L13P
CyCOG_60000330	LSU ribosomal protein L2P
CyCOG_60000331	chaperonin GroES
CyCOG_60000332	aminoacyl-tRNA synthetase CAAD domain-containing protein
CyCOG_60000333	hypothetical protein
CyCOG_60000334	hypothetical protein
CyCOG_60000335	acyl carrier protein
CyCOG_60000336	Protein of unknown function (DUF3172)
CyCOG_60000337	Predicted RNA-binding protein, contains PUA-like domain
CyCOG_60000338	NAD(P)H-dependent FMN reductase
CyCOG_60000339	3-oxoacyl-[acyl-carrier-protein] synthase III
CyCOG_60000340	1,2-diacylglycerol 3-beta-glucosyltransferase
CyCOG_60000341	hypothetical protein
CyCOG_60000342	phytoene synthase
CyCOG_60000343	tRNA nucleotidyltransferase (CCA-adding enzyme)
CyCOG_60000344	cystathionine gamma-synthase
CyCOG_60000345	coproporphyrinogen oxidase
CyCOG_60000346	DNA mismatch repair protein MutS
CyCOG_60000347	tRNA uridine 5-carboxymethylaminomethyl modification enzyme
CyCOG_60000348	replication restart DNA helicase PriA
CyCOG_60000349	nif11-like leader peptide domain-containing protein
CyCOG_60000350	LSU ribosomal protein L18P
CyCOG_60000351	SSU ribosomal protein S9P
CyCOG_60000352	ATP synthase F1 subcomplex epsilon subunit
CyCOG_60000353	Adenylate kinase
CyCOG_60000354	translation elongation factor P (EF-P)
CyCOG_60000355	phytol kinase
CyCOG_60000356	ketopantoate hydroxymethyltransferase
CyCOG_60000357	single-strand binding protein
CyCOG_60000358	L-threonylcarbamoyladenylate synthase
CyCOG_60000359	RecA protein
CyCOG_60000360	zeta-carotene desaturase
CyCOG_60000361	aspartate carbamoyltransferase
CyCOG_60000362	RNA polymerase primary sigma factor
CyCOG_60000363	orotidine-5'-phosphate decarboxylase
CyCOG_60000364	L-aspartate oxidase
CyCOG_60000365	23S rRNA m(2)A-2503 methyltransferase
CyCOG_60000366	long-chain acyl-CoA synthetase
CyCOG_60000367	carboxypeptidase Taq
CyCOG_60000368	DNA polymerase III, alpha subunit
CyCOG_60000369	DnaJ C terminal domain-containing protein
CyCOG_60000370	GLTT repeat-containing protein
CyCOG_60000371	SSU ribosomal protein S19P
CyCOG_60000372	LSU ribosomal protein L6P
CyCOG_60000373	biotin carboxyl carrier protein
CyCOG_60000374	imidazoleglycerol-phosphate dehydratase
CyCOG_60000375	LSU ribosomal protein L17P
CyCOG_60000376	cell division protein FtsZ
CyCOG_60000377	Uncharacterized membrane protein
CyCOG_60000378	glutamate-1-semialdehyde 2,1-aminomutase
CyCOG_60000379	phospholipid/cholesterol/gamma-HCH transport system ATP-binding protein
CyCOG_60000380	phosphoribosylformylglycinamidine synthase subunit I
CyCOG_60000381	glyceraldehyde 3-phosphate dehydrogenase (NADP+)
CyCOG_60000382	ferredoxin
CyCOG_60000383	membrane protein
CyCOG_60000384	release factor glutamine methyltransferase
CyCOG_60000385	UDP-N-acetylmuramate--L-alanine ligase
CyCOG_60000386	putative N6-adenine-specific DNA methylase
CyCOG_60000387	uroporphyrinogen-III C-methyltransferase
CyCOG_60000388	UDP-galactopyranose mutase
CyCOG_60000389	rod shape determining protein RodA
CyCOG_60000390	GMP synthase (glutamine-hydrolyzing)
CyCOG_60000391	hypothetical protein
CyCOG_60000392	sigma-B regulation protein RsbU (phosphoserine phosphatase)
CyCOG_60000393	NADH dehydrogenase subunit M
CyCOG_60000394	Dipeptidyl aminopeptidase/acylaminoacyl peptidase
CyCOG_60000395	DNA polymerase I
CyCOG_60000396	Outer membrane protein TolC
CyCOG_60000397	LSU ribosomal protein L22P
CyCOG_60000398	Polyketide cyclase / dehydrase and lipid transport
CyCOG_60000399	Enoyl-[acyl-carrier-protein] reductase [NADH]
CyCOG_60000400	Sec-independent protein translocase TatC
CyCOG_60000401	RNase HII
CyCOG_60000402	dethiobiotin synthase
CyCOG_60000403	cysteine synthase
CyCOG_60000404	Pimeloyl-ACP methyl ester carboxylesterase
CyCOG_60000405	Xaa-Pro aminopeptidase
CyCOG_60000406	SSU ribosomal protein S16P
CyCOG_60000407	acetyl-CoA carboxylase carboxyltransferase subunit alpha
CyCOG_60000408	DNA polymerase III, beta subunit
CyCOG_60000409	1,4-dihydroxy-2-naphthoate octaprenyltransferase
CyCOG_60000410	ATP-binding protein involved in chromosome partitioning
CyCOG_60000411	Phosphopantothenate-cysteine ligase /Phosphopantothenoylcysteine decarboxylase
CyCOG_60000412	pantoate ligase / cytidylate kinase
CyCOG_60000413	Protein of unknown function (DUF3153)
CyCOG_60000414	DNA gyrase subunit A
CyCOG_60000415	Excinuclease ABC subunit A
CyCOG_60000416	SSU ribosomal protein S7P
CyCOG_60000417	LSU ribosomal protein L11P
CyCOG_60000418	hypothetical protein
CyCOG_60000419	glutaredoxin 3
CyCOG_60000420	photosystem II PsbH protein
CyCOG_60000421	LSU ribosomal protein L31P
CyCOG_60000422	protein tyrosine phosphatase
CyCOG_60000423	rod shape-determining protein MreC
CyCOG_60000424	Organic radical activating enzyme
CyCOG_60000425	5-(carboxyamino)imidazole ribonucleotide mutase
CyCOG_60000426	4-hydroxybenzoate solanesyltransferase
CyCOG_60000427	thiamine-phosphate diphosphorylase
CyCOG_60000428	thiazole-phosphate synthase
CyCOG_60000429	N-acetylglutamate kinase
CyCOG_60000430	homoserine kinase
CyCOG_60000431	pyruvate dehydrogenase E1 component alpha subunit
CyCOG_60000432	Dihydropteroate synthase
CyCOG_60000433	Glutamate or tyrosine decarboxylase
CyCOG_60000434	preprotein translocase subunit SecG
CyCOG_60000435	Protein of unknown function (DUF3181)
CyCOG_60000436	agmatinase
CyCOG_60000437	LSU ribosomal protein L15P
CyCOG_60000438	myo-inositol-1(or 4)-monophosphatase
CyCOG_60000439	hypothetical protein
CyCOG_60000440	Protein of unknown function (DUF3120)
CyCOG_60000441	NAD(P)H-quinone oxidoreductase subunit M
CyCOG_60000442	dihydroorotate oxidase A
CyCOG_60000443	Protein of unknown function (DUF3529)
CyCOG_60000444	Tetratricopeptide repeat-containing protein
CyCOG_60000445	SNARE associated Golgi protein
CyCOG_60000446	Sporulation protein YlmC, PRC-barrel domain family
CyCOG_60000447	phospholipid/cholesterol/gamma-HCH transport system permease protein
CyCOG_60000448	[acyl-carrier-protein] S-malonyltransferase
CyCOG_60000449	RNA polymerase primary sigma factor
CyCOG_60000450	adenylylsulfate kinase
CyCOG_60000451	tRNA dimethylallyltransferase
CyCOG_60000452	FMN adenylyltransferase /riboflavin kinase
CyCOG_60000453	NADH dehydrogenase subunit N
CyCOG_60000454	UPF0176 protein
CyCOG_60000455	Cystathionine beta-lyase family protein involved in aluminum resistance
CyCOG_60000456	Adenylosuccinate synthetase
CyCOG_60000457	GTP-binding protein Era
CyCOG_60000458	photosystem I subunit 11
CyCOG_60000459	membrane protease FtsH catalytic subunit
CyCOG_60000460	Predicted component of the ribosome quality control (RQC) complex, YloA/Tae2 family, contains fibronectin-binding (FbpA) and DUF814 domains
CyCOG_60000461	carbamoyl-phosphate synthase large subunit
CyCOG_60000462	Protein of unknown function (DUF3285)
CyCOG_60000463	hypothetical protein
CyCOG_60000464	LSU ribosomal protein L5P
CyCOG_60000465	Uncharacterized conserved protein YggT, Ycf19 family
CyCOG_60000466	RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain)
CyCOG_60000467	TIGR03792 family protein
CyCOG_60000468	LSU ribosomal protein L1P
CyCOG_60000469	TatD DNase family protein
CyCOG_60000470	ribonuclease HI
CyCOG_60000471	HEAT repeat-containing protein
CyCOG_60000472	sodium/proton antiporter, CPA1 family
CyCOG_60000473	acyl-phosphate glycerol-3-phosphate acyltransferase
CyCOG_60000474	Nucleoside-diphosphate-sugar epimerase
CyCOG_60000475	UDP-N-acetylmuramate dehydrogenase
CyCOG_60000476	DNA polymerase III, delta subunit
CyCOG_60000477	putative radical SAM enzyme, TIGR03279 family
CyCOG_60000478	glutamyl-tRNA synthetase
CyCOG_60000479	Trk-type K+ transport system, membrane component
CyCOG_60000480	Fructosamine-3-kinase
CyCOG_60000481	Sugar or nucleoside kinase, ribokinase family
CyCOG_60000482	30S ribosomal protein 3
CyCOG_60000483	Protein of unknown function (DUF3086)
CyCOG_60000484	cell division protein FtsI (penicillin-binding protein 3)
CyCOG_60000485	DNA repair protein RadA/Sms
CyCOG_60000486	Di- and tricarboxylate transporter
CyCOG_60000487	argininosuccinate lyase
CyCOG_60000488	DNA topoisomerase I
CyCOG_60000489	PAS/PAC sensor signal transduction histidine kinase /multi-sensor signal transduction histidine kinase
CyCOG_60000490	hypothetical protein
CyCOG_60000491	protein of unknown function (DUF1818)
CyCOG_60000492	cell division inhibitor SepF
CyCOG_60000493	LSU ribosomal protein L9P
CyCOG_60000494	15,16-dihydrobiliverdin:ferredoxin oxidoreductase
CyCOG_60000495	ADP-ribose pyrophosphatase
CyCOG_60000496	PRC-barrel domain-containing protein
CyCOG_60000497	ribonuclease D
CyCOG_60000498	transcription antitermination protein nusG
CyCOG_60000499	pyrroline-5-carboxylate reductase
CyCOG_60000500	triosephosphate isomerase
CyCOG_60000501	photosystem I subunit 2
CyCOG_60000502	glucose-6-phosphate 1-dehydrogenase
CyCOG_60000503	alanine-glyoxylate aminotransferase apoenzyme
CyCOG_60000504	SSU ribosomal protein S6P
CyCOG_60000505	ketol-acid reductoisomerase
CyCOG_60000506	phycoerythrobilin:ferredoxin oxidoreductase
CyCOG_60000507	ATP synthase F1 subcomplex alpha subunit
CyCOG_60000508	Recombination protein MgsA
CyCOG_60000509	outer membrane protein insertion porin family
CyCOG_60000510	uncharacterized protein
CyCOG_60000511	aldehyde dehydrogenase (NAD+)
CyCOG_60000512	signal recognition particle subunit FFH/SRP54 (srp54)
CyCOG_60000513	sec-independent protein translocase protein TatA
CyCOG_60000514	hypothetical protein
CyCOG_60000515	Protein of unknown function (DUF2839)
CyCOG_60000516	hypothetical protein
CyCOG_60000517	Tetratricopeptide repeat-containing protein
CyCOG_60000518	YlqD protein
CyCOG_60000519	hypothetical protein
CyCOG_60000520	1-acyl-sn-glycerol-3-phosphate acyltransferase
CyCOG_60000521	Beta-lactamase enzyme family protein
CyCOG_60000522	tyrosyl-tRNA synthetase
CyCOG_60000523	peptide/nickel transport system permease protein
CyCOG_60000524	16S rRNA (guanine527-N7)-methyltransferase
CyCOG_60000525	malonyl-CoA O-methyltransferase
CyCOG_60000526	Uncharacterized membrane protein
